35125,Fine Particulate Matter,2020-01-01,1,1,1,1,0,0,0,1,1,1,2,2,3,4,4,4,7,11,15,16,15,14,15,14,


Windsor Downtown, (12008) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Windsor Downtown (12008)
Address,467 University Ave. W.
Latitude,42.315778
Longitude,-83.043667
Elevation, 176 metres
Air Intake Height,4 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12008,Fine Particulate Matter,2020-01-01,5,6,6,5,6,5,5,5,4,4,4,6,7,5,6,6,6,7,7,7,7,6,5,5,


Windsor West, (12016) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Windsor West (12016)
Address,College Ave./south St.
Latitude,42.292889
Longitude,-83.073139
Elevation, 180 metres
Air Intake Height,4 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12016,Fine Particulate Matter,2020-01-01,12,14,13,11,10,10,9,9,10,11,13,15,13,11,10,9,10,10,11,12,11,9,8,6,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2021
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
